,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
0,Guardian: The Lonely and Great God ,"Dec  2, 2016 - Jan 21, 2017",8.8,162645,"Kim Sin was once an unbeatable general in Goryeo's military who died tragically. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Sin has searched for his bride, a mortal who can pull out the sword and end his life. 

One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task only gets complicated as the two fall in love.

(Source: AJ at MyDramaList)  English 中文(台灣) ภาษาไทย Arabic",Kim Eun Sook,Lee Eung Bok,"Comedy, Romance, Fantasy, Melodrama",South Korea,16,Drama,tvN,1 hr. 15 min.,#174,#1,15+ - Teens 15 or older
1,Strong Girl Bong Soon ,"Feb 24, 2017 - Apr 15, 2017",8.7,171081,"Do Bong Sun is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is, in fact, very, very strong. For generations in her family, the women have been gifted with Herculean strength to use for the greater good. If abused, however, their power will be taken away.

Whilst standing up for herself after gang members bully her, she finds herself approached by An Min Hyeok, the handsome and somewhat childish CEO of Ainsoft, a gaming company. An Min Hyeok, who holds a great distrust towards the police, witnessed the whole exchange of Bong Sun's superhuman strength and now wants to employ her as a bodyguard after being threatened by an unknown enemy. Min Hyeok falls in love with super-strong Bong Sun at first sight, but there's a catch. Bong Sun has eyes for someone else, a police officer and childhood friend, In Guk Du, whom she has known since high school.

When chaos ensues after a series of kidnappings in Do Bong Sin's hometown of Dobong-dong, Dobong-gu, Bong Sun must decide whether to use her strength and stand up to evil or play it safe and keep her powers hidden from the world. Combined with the love triangle she faces between In Guk Du and An Min Hyeok, as well as having to keep Min Hyeok safe, Bong Sun's life is thrown into turmoil. Can she use her strength for the greater good, or will it prove in the end to be too much?

(Source: AJ at MyDramaList)  English 한국어 ภาษาไทย Arabic",Baek Mi Kyung,Lee Hyung Min,"Action, Comedy, Romance, Supernatural",South Korea,16,Drama,jTBC,1 hr. 7 min.,#297,#2,15+ - Teens 15 or older
2,It's Okay to Not Be Okay ,"Jun 20, 2020 - Aug  9, 2020",8.8,155783,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.

Moon Gang Tae denies love and Ko Moon Young doesn’t know it. The two defy fate and fall in love, finding their souls and identities in the process. 

(Source: Soompi & Koreandrama.org)  English 한국어 中文(简体) 中文(台灣)",Jo Yong,"Park Shin Woo, Jung Dong Yoon","Psychological, Comedy, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#133,#3,15+ - Teens 15 or older
3,What's Wrong with Secretary Kim ,"Jun  6, 2018 - Jul 26, 2018",8.5,148765,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?

(Source: AJ at MyDramaList)

~~ Adapted from the webtoon ""Kimbiseoga Wae Geureolgga"" (김 비서가 왜 그럴까) by Jung Kyung Yoon (정경윤).  English 한국어 中文(简体) ภาษาไทย","Baek Sun Woo, Choi Bo Rim, Jung Eun Yeong",Park Joon Hwa,"Business, Comedy, Romance",South Korea,16,Drama,tvN,1 hr. 9 min.,#643,#4,15+ - Teens 15 or older
4,Crash Landing on You ,"Dec 14, 2019 - Feb 16, 2020",9,155619,"After getting into a paragliding accident, South Korean heiress Yun Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jeong Hyeok, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.

(Source: queen of repressed rage at MyDramaList)  English 한국어 中文(简体) 中文(台灣)",Park Ji Eun,Lee Jeong Hyo,"Military, Comedy, Romance, Political",South Korea,16,Drama,tvN,1 hr. 25 min.,#70,#5,15+ - Teens 15 or older
5,Descendants of the Sun ,"Feb 24, 2016 - Apr 14, 2016",8.6,137523,"A love story that develops between a surgeon and a special forces officer.

Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes and believes that capability overrides whatever connections you have. However, she is soon faced with the reality that she cannot advance with just capability. Her life is forever changed when she encounters Yoo Si Jin, the Captain and team leader of the Alpha Team who cares more about protecting anybody in need of help as well as his country, even if it goes against the order of his superiors. 

It tells the story of how they both bond together in a time of war and overcome the odds against them.

(Source: AJ at MyDramaList)  English 한국어 ภาษาไทย Arabic","Kim Eun Sook, Kim Won Seok","Baek Sang Hoon, Lee Eung Bok","Action, Comedy, Romance, Melodrama",South Korea,16,Drama,KBS2,60 min.,#397,#6,15+ - Teens 15 or older
6,Weightlifting Fairy Kim Bok Joo ,"Nov 16, 2016 - Jan 11, 2017",8.7,145569,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams.

Can she find a way to have love as well as glory at the age of 20? The characters within this drama are elite athletes in weightlifting, swimming and rhythmic gymnastics who work hard to reach their goals in life. It covers their coming-of-age stories and relationships through hectic life.

(Source: MBC)

~~ Inspired by the life of South Korean Olympic weightlifter gold-medalist Jang Mi Ran.  English 한국어 中文(简体) ภาษาไทย","Yang Hee Seung, Kim Soo Jin","Oh Hyun Jong, Nam Sung Woo","Comedy, Romance, Life, Sports",South Korea,16,Drama,MBC,60 min.,#214,#7,15+ - Teens 15 or older
7,Business Proposal ,"Feb 28, 2022 - Apr  5, 2022",8.7,177940,"Sin Ha Ri, a single woman, has a crush on her male friend but is heartbroken to learn he has a girlfriend. She meets her friend Jin Yeong Seo, the daughter of a chaebol family, who asks Sin Ha Ri to take her place on a blind date in exchange for money. Sin Ha Ri agrees and goes on the date intending to get rejected. However, she is shocked to discover that her date is Kang Tae Mu, the CEO of her company.

Kang Tae Mu, annoyed by his grandfather's blind date arrangements, decides to marry the next woman he meets to avoid further interference. That woman turns out to be Sin Ha Ri, disguised as Jin Yeong Seo. The next day, Kang Tae Mu calls her and asks her to marry him.

(Source: MyDramaList)

~~ Adapted from the web novel ""The Office Blind Date"" (사내 맞선) by Hae Hwa (해화).  English 中文(简体) 中文(台灣) ภาษาไทย","Han Sul Hee, Hong Bo Hee",Park Seon Ho,"Comedy, Romance, Drama",South Korea,12,Drama,SBS,60 min.,#312,#8,15+ - Teens 15 or older
8,W ,"Jul 20, 2016 - Sep 14, 2016",8.4,129226,"O Seong Mu, the father of cardiothoracic surgeon O Yeon Ju, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Ju goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Ju later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.

(Source: MyDramaList)  English 한국어 ภาษาไทย Arabic",Song Jae Jung,"Jeong Dae Yun, Park Seung Woo","Thriller, Comedy, Romance, Fantasy",South Korea,16,Drama,MBC,60 min.,#666,#9,15+ - Teens 15 or older
9,True Beauty ,"Dec  9, 2020 - Feb  4, 2021",8.3,139670,"""True Beauty"" is a romantic comedy about a high school girl, Lim Ju Gyeong, who rises to pretty girl fame after she masters the art of make-up from YouTube. She turns into a goddess because of her makeup skills, but would rather die than reveal her bare face to anyone. It tells her love story with the only boy that saw her without makeup, Lee Su Ho. Lee Su Ho is an attractive and handsome boy who appears cold because of his dark past but is actually very caring. They grow when they meet each other, share their secrets and find love with each other, but can Su Ho make Ju Gyeong find her true beauty?

(Source: Wikipedia)

~~ Adapted from the webtoon ""True Beauty"" (여신강림) by Yaongyi (야옹이).  English 中文(简体) 日本語 ภาษาไทย",Lee Shi Eun,Kim Sang Hyub,"Comedy, Romance, Youth, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#1124,#10,15+ - Teens 15 or older
10,Hotel del Luna ,"Jul 13, 2019 - Sep  1, 2019",8.5,109013,"In the heart of Seoul stands a mysterious, ancient hotel, managed by the greedy and resentful Jang Man Wol, who has spent a thousand years running it. Bound by a deity to prevent her from self-destructing due to her anger and thirst for revenge, Man Wol’s only chance of freedom lies in letting go of her hatred and finding love. Her eternal curse forces her to serve the bizarre clientele of the hotel. When Goo Chan Sung, a former hotel assistant manager, is forced to take over due to a deal made by his father, he helps manage the hotel’s finances, possibly offering the key to Man Wol’s redemption.

(Source: MyDramaList)  English 한국어 中文(简体) ภาษาไทย","Hong Jeong Eun, Hong Mi Ran",Oh Choong Hwan,"Horror, Comedy, Romance, Fantasy",South Korea,16,Drama,tvN,1 hr. 19 min.,#495,#11,15+ - Teens 15 or older
11,Vincenzo ,"Feb 20, 2021 - May  2, 2021",8.9,126989,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.

(Source: Netflix, AsianWiki)  English 한국어 中文(台灣) 日本語",Park Jae Bum,Kim Hee Won,"Comedy, Law, Crime, Drama",South Korea,20,Drama,tvN,1 hr. 25 min.,#119,#12,15+ - Teens 15 or older
12,Squid Game ,"Sep 17, 2021",8.4,156031,"After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang U. Commencing the games, the participants soon learn of the deadly consequences that come with losing.

(Source: MyDramaList)  English 中文(台灣) 中文(简体) ภาษาไทย",Hwang Dong Hyuk,Hwang Dong Hyuk,"Action, Thriller, Mystery, Drama",South Korea,9,Drama,Netflix,60 min.,#675,#13,18+ Restricted (violence & profanity)
13,While You Were Sleeping ,"Sep 27, 2017 - Nov 16, 2017",8.7,101103,"Nam Hong Ju, endowed with the ability to foresee events, resides with her widowed mother who runs a small restaurant. Despite her gift, she often finds herself powerless to change the outcomes. On the other side of the street, Jung Jae Chan, a rookie prosecutor, and his younger brother Seung Won become their new neighbors. An unusual dream involving Hong Ju, ruthless attorney Lee Yu Beom, and a life-saving intervention leads Jae Chan to realize their destinies are intertwined, as they begin sharing dreams and connecting in mysterious ways.

(Source: MyDramaList) 

~~ Two versions available: 32 episodes (TV) | 16 episodes (online)  English 中文(简体) ภาษาไทย Arabic",Park Hye Ryun,"Oh Choong Hwan, Park Soo Jin","Mystery, Romance, Drama, Supernatural",South Korea,32,Drama,SBS,30 min.,#304,#14,15+ - Teens 15 or older
14,Flower of Evil ,"Jul 29, 2020 - Sep 23, 2020",9,91883,"Although Baek Hui Seong is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and a doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hui Seong’s behavior and begins to wonder if he could possibly be hiding something from her. 

(Source: MyDramaList)  English 한국어 日本語 ภาษาไทย",Yoo Jeong Hui,"Kim Chul Gyu, Yoon Jong Ho","Thriller, Romance, Crime, Melodrama",South Korea,16,Drama,tvN,1 hr. 10 min.,#47,#15,15+ - Teens 15 or older
15,Alchemy of Souls ,"Jun 18, 2022 - Aug 28, 2022",9.1,104086,"In the fictional country of Daeho, young mages struggle to overcome twisted fates caused by the forbidden ""alchemy of souls,"" a spell that swaps souls between bodies. Naksu, an elite assassin, finds her soul trapped in the weak body of Mu Deok, a servant to the noble Jang Family. Jang Uk, the young master of the Jang Family, harbors a dark secret about his birth and seeks Naksu's help to change his destiny.

(Source: MyDramaList)  English 한국어 中文(台灣) ภาษาไทย","Hong Jeong Eun, Hong Mi Ran",Park Joon Hwa,"Action, Historical, Romance, Fantasy",South Korea,20,Drama,tvN,1 hr. 20 min.,#37,#16,15+ - Teens 15 or older
16,Weak Hero Class 1 ,"Nov 18, 2022",9.1,107758,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. 

(Source: Asianwiki)

~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass (서패스) and illustrated by Kim Jin Seok  (김진석). 
~~ Release dates: Oct 7, 2022 (Festival) || Nov 18, 2022 (Online)  English 한국어 中文(台灣) ภาษาไทย",Yoo Su Min,Yoo Su Min,"Action, Youth, Drama",South Korea,8,Drama,Wavve,40 min.,#36,#17,18+ Restricted (violence & profanity)
17,Boys over Flowers ,"Jan  5, 2009 - Mar 31, 2009",7.5,108527,"Geum Jan Di comes from a poor family who owns a dry-cleaning shop. One day, she visits Shinhwa High School, a prestigious school for the wealthy, and saves a student trying to commit suicide because of bullying. For her heroic act, Jan Di receives a swimming scholarship and starts attending the school.

In Shinhwa High, she meets the notorious F4, the most popular and powerful group of boys at the school, consisting of Gu Jun Pyo, the leader of F4 and heir to the Shinhwa Group, Yoon Ji Hu, the grandson of a former president of Korea, So Yi Jung, a skilled potter who comes from a family that owns the country's biggest art museum, and Song Woo Bin, whose family runs the country's largest construction company.

Her life at school starts out miserable, as she doesn't fit in with other students because of her status, and later becomes worse when she is labeled as the new bullying target of the F4.

(Source: MyDramaList)

~~ Adapted from the manga ""Boys Over Flowers"" (花より男子) by Kamio Yoko (神尾葉子).  English 中文(简体) ภาษาไทย Arabic",Yoon Ji Ryun,Jeon Ki Sang,"Comedy, Romance, Youth, Drama",South Korea,25,Drama,KBS2,1 hr. 5 min.,#6102,#18,15+ - Teens 15 or older
18,The Heirs ,"Oct  9, 2013 - Dec 12, 2013",7.6,104692,"Kim Tan is the heir to Empire Group who has been sent to study abroad in the U.S. In reality it's a form of exile, as his elder half-brother back home schemes to take over the family business. While in the States, Kim Tan meets Cha Eun Sang, who arrived from Korea in search of her older sister. He feels himself falling for her, never realizing that she's the daughter of his family's housekeeper. When his fiancée Rachel Yoo arrives to bring him back to Korea, his heart is torn between love and duty.

(Source: SBS World YouTube)  English ภาษาไทย Arabic Русский",Kim Eun Sook,"Kang Shin Hyo, Boo Sung Chul","Comedy, Romance, Drama, Melodrama",South Korea,20,Drama,SBS,60 min.,#5447,#19,15+ - Teens 15 or older
19,Twinkling Watermelon ,"Sep 25, 2023 - Nov 14, 2023",9.2,97428,"In 2023, high school student Eun Gyeol, a CODA with a passion for music, leads a double life as a model pupil by day and a guitarist by night. When he discovers a mysterious music store, he's unexpectedly transported back to 1995, where he meets his father, Ha I Chan, as a high schooler. I Chan doesn't recognize him and is infatuated with a cellist, Se Gyeong, not Eun Gyeol's mother, Cheong A. To set things right, Eun Gyeol joins a band led by I Chan, hoping to reunite his future parents and return to the present.

(Source: MyDramaList)  English 한국어 ภาษาไทย Arabic",Jin Soo Wan,Son Jung Hyun,"Romance, Youth, Drama, Fantasy",South Korea,16,Drama,tvN,1 hr. 10 min.,#24,#20,15+ - Teens 15 or older
20,Moon Lovers: Scarlet Heart Ryeo ,"Aug 29, 2016 - Nov  1, 2016",8.7,91057,"When a total eclipse of the sun takes place, Go Ha Jin is transported back in time to the start of the Goryeo Dynasty of Korea during King Taejo's rule. She wakes up in the body of the 16-year-old Hae Soo and finds herself living in the house of the 8th Prince Wang Wook, who is married to Hae Soo's cousin. She soon befriends several of the princes and meets the ostracized 4th Prince, Wang So. Although knowing she should not get involved in palace intrigues over the succession to the throne, she inadvertently becomes a pawn in the struggle, as several of the Princes fall in love with her. 

(Source: MyDramaList)

~~ Adapted from the novel “Bu Bu Jing Xin” (步步惊心) by Tong Hua (桐华).
~~ There are 2 versions of this series, please read the FAQ thread for more info.  English 한국어 中文(简体) ภาษาไทย",Jo Yoon Young,Kim Kyu Tae,"Historical, Romance, Fantasy, Melodrama",South Korea,20,Drama,SBS,60 min.,#230,#21,15+ - Teens 15 or older
21,My Love from the Star ,"Dec 18, 2013 - Feb 27, 2014",8.5,98324,"Do Min Jun is an alien who landed on Earth 400 years ago during the Joseon Dynasty. He possesses a near-perfect appearance and enhanced physical abilities involving his vision, hearing and speed. Later, he discovers that he has three months left on Earth. And that is when he meets Cheon Song I, the biggest Hallyu star in Korea.

(Source: Amazon.com)  English ภาษาไทย Arabic Русский",Park Ji Eun,"Oh Choong Hwan, Jang Tae Yoo","Comedy, Romance, Drama, Supernatural",South Korea,21,Drama,SBS,58 min.,#656,#22,15+ - Teens 15 or older
22,Healer ,"Dec  8, 2014 - Feb 10, 2015",8.8,89075,"Seo Jeong Hu is a special kind of night courier, known only as ""Healer"" by his clients. For the right price and with the help of a genius hacker, he gets his clients whatever they want, as long as it doesn't involve murder. His latest job leads him to the second-rate tabloid writer Chae Yeong Sin and the successful reporter Kim Mun Ho. He begins to uncover the mystery of his own shared past with the two reporters, thus putting them all in danger.  English ภาษาไทย Arabic Русский",Song Ji Na,"Lee Jung Sub, Kim Jin Woo","Action, Thriller, Mystery, Romance",South Korea,20,Drama,KBS2,60 min.,#172,#23,15+ - Teens 15 or older
23,Itaewon Class ,"Jan 31, 2020 - Mar 21, 2020",8.4,98671,"Park Saeroyi's life has been turned upside down after he gets expelled from school for punching a bully and his father is killed in an accident. Following his father's steps, he opens a pub named ""DanBam"" in Itaewon and, along with his manager and staff, strives towards success and reaching greater heights.

(Source: Wikipedia)

~~ Adapted from the webtoon ""Itaewon Class"" (이태원 클라쓰) by Jo Gwang Jin (조광진).  English 한국어 中文(简体) 中文(台灣)",Cho Kwang Jin,"Kang Min Gu, Kim Seong Yoon","Business, Romance, Life, Drama",South Korea,16,Drama,jTBC,1 hr. 10 min.,#734,#24,15+ - Teens 15 or older
24,My ID Is Gangnam Beauty ,"Jul 27, 2018 - Sep 15, 2018",7.7,96059,"It tells the story of Kang Mi Rae, a girl once bullied for her looks. As a result, she became insecure, cautious around people and withdrawn. However, Mi Rae decides she wants a fresh start away from bullying and gets plastic surgery to transform her face. When she begins university, she meets Do Gyeong Seok from their middle school days, who sees people for what they are on the inside and not the outside; he then becomes attracted to Kang Mi Rae. 

As Mi Rae begins to get teased once more and labeled ""Gangnam Beauty"", the cold, aloof but kind inside Gyeong Seok becomes the one person that stands up for her, and in the process, Mi Rae begins to recover her lost confidence and discovers that true beauty is not on the outside.

(Source: AJ at MyDramaList)

~~ Adapted from the webtoon “My ID Is Gangnam Beauty” (내 ID는 강남미인!) by Gi Maeng Gi (기맹기).  English 한국어 中文(简体) ภาษาไทย",Choi Su Yeong,Choi Sung Bum,"Psychological, Romance, Youth, Drama",South Korea,16,Drama,jTBC,60 min.,#4840,#25,15+ - Teens 15 or older
25,The Legend of the Blue Sea ,"Nov 16, 2016 - Jan 25, 2017",8.3,86366,"Shim Chung, a mermaid from the Joseon era, follows her true love, nobleman’s son Kim Ryung, to modern-day Seoul. Ryung’s doppelgänger, Heo Joon Jae, is a skilled scam artist who becomes intrigued by Shim Chung due to a $6 million jade bracelet she wears. With nowhere else to go, Shim Chung moves in with Joon Jae and his con partners, Jo Nam Doo and Tae Oh. As Shim Chung navigates her new life, she faces competition for Joon Jae’s affection from researcher Cha Shi Ah. Meanwhile, a dangerous killer, Ma Dae Yeong, sent by Joon Jae’s stepmother, threatens their safety.

(Source: MyDramaList)

~~ Inspired by the Joseon legend from Korea's first collection of unofficial historical tales contained in a short story anthology ""Eou Yadam"" (어우야담) by Joseon-era scholar Yoo Mong In (유몽인).  English ภาษาไทย Arabic Русский",Park Ji Eun,Jin Hyeok,"Comedy, Romance, Drama, Fantasy",South Korea,20,Drama,SBS,60 min.,#984,#26,15+ - Teens 15 or older
26,I'm Not a Robot ,"Dec  6, 2017 - Jan 25, 2018",8.3,88630,"Kim Min Kyu is the largest shareholder of a financial company. He suffers from a ""human allergy"", preventing him from normal interactions with other people. He becomes interested in a robotic project named Aji-3 created by the Santa Maria robotic team. The team is headed by Hong Baek Gyun, inventor of Aji-3 and world-renowned robotics professor. He modeled Aji-3 after his ex-girlfriend, Jo Ji Ah, a struggling inventor that also works as a personal shopper to make ends meet. 

Just when Kim Min Kyu wants to test the robot, an accident causes the malfunction of the robot's battery. Hong Baek Gyun begs Jo Ji Ah to take the place of Aji-3 and pretend to be the robot so they can get funding from Kim Min Kyu. But, Aji-3 becomes the closest thing that the lonely Min Kyu has to real contact with another person.

(Source: MyDramaList)  English 한국어 ภาษาไทย Arabic",Kim Sun Mi,"Jeong Dae Yun, Park Seung Woo","Comedy, Romance, Drama, Sci-Fi",South Korea,32,Drama,MBC,35 min.,#1086,#27,15+ - Teens 15 or older
27,Fight for My Way ,"May 22, 2017 - Jul 11, 2017",8.5,90710,"Can you still go after your dreams without the right background?

Ko Dong Man has always dreamed of becoming famous as a taekwondo athlete but now works as a contract employee in a mundane job. His bickering longtime friend, Choi Ae Ra, aspires to become a television anchor but works instead at the information desk of a department store.

Their friends, Kim Ju Man and Baek Seol Hui, have been dating for six years but face a new threat to their relationship.
Can the four friends achieve their individual dreams despite having “third-rate” qualifications?

(Source: Viki)  English ภาษาไทย Arabic Русский",Im Sang Choon,"Lee Na Jung, Kim Dong Hwi","Business, Comedy, Romance, Sports",South Korea,16,Drama,KBS2,60 min.,#664,#28,15+ - Teens 15 or older
28,Extraordinary Attorney Woo ,"Jun 29, 2022 - Aug 18, 2022",8.8,105680,"Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions.

(Source: Soompi; Edited by MyDramaList)  English 한국어 中文(简体) 中文(台灣)",Moon Ji Won,Yoo In Shik,"Law, Romance, Life, Drama",South Korea,16,Drama,ENA,1 hr. 10 min.,#135,#29,15+ - Teens 15 or older
29,Extraordinary You ,"Oct  2, 2019 - Nov 21, 2019",8.3,87013,"Eun Dan O, a 17-year-old high schooler with a heart condition, discovers she's actually a character in a Korean webtoon – and a minor one at that. After realizing her life is all scripted by the artist, she decides to take control of her story. Armed with glimpses of the storyboard that only she can see, Dan O is determined to change her fate and find true love, no matter what the author planned for her.

(Source: MyDramaList)

~~ Adapted from the webtoon ""July Found by Chance” (어쩌다 발견한 7월) by Moo Ryoo (무류).
~~ Two versions available: 32 episodes (TV) || 16 episodes (online)  English ภาษาไทย Arabic Русский","In Ji Hye, Song Ha Young","Kim Sang Hyub, Kim Sang Woo","Comedy, Romance, Youth, Fantasy",South Korea,32,Drama,MBC,35 min.,#1014,#30,13+ - Teens 13 or older
30,Hometown Cha-Cha-Cha ,"Aug 28, 2021 - Oct 17, 2021",8.7,105881,"After a conflict with her boss, dentist Yoon Hye Jin escapes the city to a seaside village where she'd vacationed before as a little girl. When she learns the village is without a dentist, she decides to set up her practice there permanently. As the former city-dweller's stiff and guarded demeanor almost immediately rubs the locals the wrong way, in steps the free-spirited jack of all trades, Hong Do Sik. There to help her learn to navigate life in a small village, although they don't hit it off well at first.

(Source: bbchops at MyDramaList)  English 한국어 中文(简体) ภาษาไทย",Shin Ha Eun,Yoo Je Won,"Comedy, Romance, Life, Drama",South Korea,16,Drama,tvN,1 hr. 20 min.,#284,#31,15+ - Teens 15 or older
31,Pinocchio ,"Nov 12, 2014 - Jan 15, 2015",8.3,82977,"The idealistic Choi In Ha has her work cut out for her when she becomes a broadcast reporter, especially when she suffers from a condition known as “Pinocchio syndrome,” which makes her break out into hiccups whenever she tells a lie. Her rookie colleagues include Choi Dal Po, whose shabby appearance masks his true eloquence and sharp memory; Seo Bum Jo, a wealthy heir who has had everything handed to him in life; and Yoon Yoo Rae, whose fangirl knowledge comes in handy in covering the news. The 20-something newbie reporters pursue justice as they try to discover themselves in the process.

(Source: SBS World YouTube)  English 한국어 ภาษาไทย Arabic",Park Hye Ryun,Jo Soo Won,"Thriller, Mystery, Comedy, Romance",South Korea,20,Drama,SBS,58 min.,#1061,#32,15+ - Teens 15 or older
32,The Glory ,"Dec 30, 2022",N/A,N/A,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary school, the former victim becomes her homeroom teacher and starts her thorough revenge towards the perpetrators and bystanders of her bullying days.

(Source: Soompi)  English 한국어 中文(简体) 日本語",Kim Eun Sook,Ahn Gil Ho,"Thriller, Drama, Melodrama",South Korea,8,Drama,Netflix,50 min.,#106,#34,18+ Restricted (violence & profanity)
33,Her Private Life ,"Apr 10, 2019 - May 30, 2019",8.3,86229,"Seong Deok Mi, a dedicated art gallery curator, is exceptional at her job but harbors a secret: she is a devoted fangirl of Cha Si An, managing his fansite. This obsession is her private world, hidden from those around her. When Ryan Gold, a former artist turned gallery director, arrives, he uncovers her secret, altering the course of her life.

(Source: MyDramaList)

~~ Adapted from the web novel “Noona Fan Dot Com” (누나팬닷컴) by Kim Sung Yeon (김성연).  English 日本語 ภาษาไทย Arabic",Kim Hye Young,Hong Jong Chan,"Business, Comedy, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#1183,#35,15+ - Teens 15 or older
34,Move to Heaven ,"May 14, 2021",9.1,73125,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in.

(Source: MyDramaList)

~~ Adapted from the nonfiction essay ""Things Left Behind"" by professional trauma cleaner Kim Sae Byul.  English 한국어 中文(台灣) 日本語",Yoon Ji Ryun,Kim Sung Ho,"Life, Drama",South Korea,10,Drama,Netflix,52 min.,#35,#36,18+ Restricted (violence & profanity)
35,Suspicious Partner ,"May 10, 2017 - Jul 13, 2017",8.2,82966,"Noh Ji Wook, a brilliant prosecutor, and Eun Bong Hee, a rookie intern prone to embarrassing situations, become entangled when Bong Hee is falsely accused of murder, and Ji Wook risks his career to help her. As their careers and love lives intersect, they must work together to catch the true culprit behind a series of murders before it's too late. Meanwhile, Ji Wook's former close friend, Ji Eun Hyuk, reappears, adding complexity to their already troubled relationship.

(Source: MyDramaList)  English Arabic Русский Ελληνικά",Kwon Ki Young,Park Seon Ho,"Thriller, Comedy, Law, Romance",South Korea,40,Drama,SBS,30 min.,#1344,#37,15+ - Teens 15 or older
